"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"47","375.20119655277784","131.10970370329616","4.680794768562639","0","0.05359999999999998","0.04579999999999995","0.0614","1244.4444444444443","0.0012240646734101475","0","0.0012240646734101475","0.0012240646734101475","","","true"
"48","224.2019829901606","71.81381217658169","4.625119580999765","0","0.0030000000000000027","0.00539999999999996","0.0006","1244.4444444444443","0.00020920176479807484","0","0.00020920176479807484","0.00020920176479807484","48_49:0.007929365376087877;48_47:0.014587658908057743","48_49:561.7777777777777;48_47:561.7777777777777","true"
"49","237.84760680891398","98.10550745033663","4.581951923444357","0","0.013600000000000056","0.01319999999999999","0.014","1244.4444444444443","0.0002379377143234565","0","0.0002379377143234565","0.0002379377143234565","","","true"
"50","389.6712640211633","118.67819501956035","4.457846093970777","0","0.013299999999999979","0.0164","0.010199999999999987","1244.4444444444443","0.00019891612305613886","0","0.00019891612305613886","0.00019891612305613886","50_51:0.00787339554820804;50_49:0.011087683921966712","50_51:561.7777777777777;50_49:561.7777777777777","true"
"51","269.95436867813333","78.93621742010582","4.565449703289172","0","0.011400000000000077","0.011600000000000055","0.0112","1244.4444444444443","0.00018800870434939018","0","0.00018800870434939018","0.00018800870434939018","","","true"
"52","247.1501139575456","31.05887189507415","4.444582244625084","0","0.014000000000000012","0.009600000000000053","0.0184","1244.4444444444443","0.0009489277861626448","0","0.0009489277861626448","0.0009489277861626448","","","true"
"53","319.4822377872797","401.0658231663977","4.621999946921272","0","0.00550000000000006","0.007399999999999962","0.0036","1244.4444444444443","0.0003792247974742372","0","0.0003792247974742372","0.0003792247974742372","53_60:0.022994117720338214;53_41:0.006203572018536718","53_60:561.7777777777777;53_41:561.7777777777777","true"
"54","247.49107867566545","19.975452357073777","4.501319969198644","0","0.00869999999999993","0.0092","0.008199999999999985","1244.4444444444443","0.0003657987945574391","0","0.0003657987945574391","0.0003657987945574391","54_45:0.010672329032401534;54_64:0.013361303992140916","54_45:561.7777777777777;54_64:561.7777777777777","true"
"55","355.03078315427615","38.51177240135754","4.686242792253597","0","0.005099999999999993","0.007800000000000029","0.0024","1244.4444444444443","0.00028661436812232784","0","0.00028661436812232784","0.00028661436812232784","55_49:0.009708232657833687","55_49:561.7777777777777","true"
"56","280.98314248309026","203.21747308817214","4.553788003986175","0","0.0036000000000000476","0.0052","0.0020000000000000018","1244.4444444444443","0.0006346543692752834","0","0.0006346543692752834","0.0006346543692752834","56_52:0.010464359770003068","56_52:561.7777777777777","true"
